country_id,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
ARG,-30.74143,-58.02339,303.3,0.52,0.67,2022-10-01,402,N,VIIRS,n,2.0NRT,282.84,1.25,N
ARG,-28.2682,-58.14644,307.06,0.6,0.71,2022-10-01,402,N,VIIRS,n,2.0NRT,284.31,2.33,N
ARG,-28.26435,-58.14404,326.77,0.6,0.71,2022-10-01,402,N,VIIRS,n,2.0NRT,285.89,3.31,N
ARG,-25.86739,-59.1968,319.4,0.79,0.78,2022-10-01,402,N,VIIRS,n,2.0NRT,285.86,4.31,N
ARG,-25.86514,-59.20489,304.99,0.79,0.78,2022-10-01,402,N,VIIRS,n,2.0NRT,285.67,4.87,N
ARG,-34.86,-57.89647,305.97,0.4,0.6,2022-10-01,404,N,VIIRS,n,2.0NRT,281.81,1.12,N
ARG,-34.85457,-57.89429,313.95,0.4,0.6,2022-10-01,404,N,VIIRS,n,2.0NRT,283.74,1.78,N
ARG,-33.36985,-60.13981,305.3,0.58,0.69,2022-10-01,404,N,VIIRS,n,2.0NRT,282.44,1.86,N
ARG,-33.36351,-60.13752,303.27,0.58,0.69,2022-10-01,404,N,VIIRS,n,2.0NRT,284.7,2.09,N
ARG,-33.25901,-60.28492,297.43,0.59,0.7,2022-10-01,404,N,VIIRS,n,2.0NRT,282.52,1.54,N
ARG,-33.25714,-60.29133,316.22,0.59,0.7,2022-10-01,404,N,VIIRS,n,2.0NRT,283.45,1.54,N
ARG,-28.54378,-65.16812,297.1,0.48,0.4,2022-10-01,542,N,VIIRS,n,2.0NRT,282.09,0.46,N
ARG,-28.46801,-65.22727,301.85,0.48,0.4,2022-10-01,542,N,VIIRS,n,2.0NRT,287.48,0.81,N
ARG,-28.45818,-60.48473,295.89,0.58,0.52,2022-10-01,542,N,VIIRS,n,2.0NRT,281.14,1.81,N
ARG,-28.45613,-60.48398,300.31,0.58,0.52,2022-10-01,542,N,VIIRS,n,2.0NRT,282.07,1.11,N
ARG,-28.45383,-60.47806,311.91,0.58,0.52,2022-10-01,542,N,VIIRS,n,2.0NRT,281.05,1.81,N
ARG,-28.45182,-60.47734,323.73,0.58,0.52,2022-10-01,542,N,VIIRS,n,2.0NRT,281.7,2.52,N
ARG,-28.45124,-60.48339,295.29,0.58,0.52,2022-10-01,542,N,VIIRS,n,2.0NRT,283,3.58,N
ARG,-28.44894,-60.47746,324.1,0.58,0.52,2022-10-01,542,N,VIIRS,n,2.0NRT,282.33,4.01,N
ARG,-28.44692,-60.47674,326.02,0.58,0.52,2022-10-01,542,N,VIIRS,n,2.0NRT,282.21,2.52,N
ARG,-28.44404,-60.47686,317.21,0.58,0.52,2022-10-01,542,N,VIIRS,n,2.0NRT,282.41,4.01,N
ARG,-28.44203,-60.47615,319.06,0.58,0.52,2022-10-01,542,N,VIIRS,n,2.0NRT,281.89,1.64,N
ARG,-28.43914,-60.47626,313.08,0.58,0.52,2022-10-01,542,N,VIIRS,n,2.0NRT,281.97,3.04,N
ARG,-28.43714,-60.47557,307.36,0.58,0.52,2022-10-01,542,N,VIIRS,n,2.0NRT,281.75,1.64,N
ARG,-28.39211,-61.48602,298.72,0.5,0.49,2022-10-01,542,N,VIIRS,n,2.0NRT,283.05,1.11,N
ARG,-28.39159,-61.49127,300.04,0.5,0.49,2022-10-01,542,N,VIIRS,n,2.0NRT,282.9,1.11,N
ARG,-28.39107,-61.49652,306.83,0.5,0.49,2022-10-01,542,N,VIIRS,n,2.0NRT,283.69,1.67,N
ARG,-28.39054,-61.50175,307.9,0.5,0.49,2022-10-01,542,N,VIIRS,n,2.0NRT,283.95,1.67,N
ARG,-28.38699,-61.49067,304.08,0.5,0.49,2022-10-01,542,N,VIIRS,n,2.0NRT,283.5,1.11,N
ARG,-28.38647,-61.49591,307.74,0.5,0.49,2022-10-01,542,N,VIIRS,n,2.0NRT,283.83,1.67,N
ARG,-28.38595,-61.50116,316.46,0.5,0.49,2022-10-01,542,N,VIIRS,n,2.0NRT,284.88,1.67,N
ARG,-28.38543,-61.5064,298.78,0.5,0.49,2022-10-01,542,N,VIIRS,n,2.0NRT,284.44,1.99,N
ARG,-28.38136,-61.50057,308.6,0.5,0.49,2022-10-01,542,N,VIIRS,n,2.0NRT,285.17,2.12,N
ARG,-28.38084,-61.5058,306.98,0.5,0.49,2022-10-01,542,N,VIIRS,n,2.0NRT,286.03,1.94,N
ARG,-27.77648,-61.96997,303.65,0.46,0.47,2022-10-01,542,N,VIIRS,n,2.0NRT,284.93,1.54,N